order,ctryname,year,aclpcode,cowcode,cowcode2,qogctycode,qogctylett,qogctyyear,ccdcodelet,ccdcodenum,aclpyear,cowcode2year,cowcodeyear,chgterr,ychgterr,flagc_cowcode2,flage_cowcode2,entryy,exity,cid,wdicode,imf_code,politycode,bankscode,dpicode,uncode,un_region,un_region_name,un_continent,un_continent_name,aclp_region,bornyear,endyear,dupcow,dupwdi,dupun,dupdpi,dupimf,dupbanks,exselec,legselec,closed,dejure,defacto,defacto2,lparty,incumb,type2,collect,nheads,nmil,nhead,npost,ndate,eheads,ageeh,emil,royal,headdiff,ehead,epost,edate,tenure08,comm,ecens08,edeath,flageh,democracy,assconfid,poppreselec,regime,tt,ttd,tta,flagc,flagdem,flagreg,agedem,agereg,stra
13,Afghanistan,1958,142,700,700,4,AFG,41958,AFG,1,1421958,7001958,7001958,0,0,0,0,1946,2008,700,AFG,512,700,10,AFG,4,34,Southern Asia,142,Asia,9,1919,2008,0,0,0,0,0,0,3,2,2,0,0,0,0,0,0,0,0,0,Mohammad Zahir Shah,king,,0,6,0,0,1,Sardar Mohammad Daoud,prime minister,,10,0,1,1,0,0,0,0,3,0,0,0,0,0,0,30,6,0
14,Afghanistan,1959,142,700,700,4,AFG,41959,AFG,1,1421959,7001959,7001959,0,0,0,0,1946,2008,700,AFG,512,700,10,AFG,4,34,Southern Asia,142,Asia,9,1919,2008,0,0,0,0,0,0,3,2,2,0,0,0,0,0,0,0,0,0,Mohammad Zahir Shah,king,,0,7,0,0,1,Sardar Mohammad Daoud,prime minister,,10,0,1,1,0,0,0,0,3,0,0,0,0,0,0,31,7,0
15,Afghanistan,1960,142,700,700,4,AFG,41960,AFG,1,1421960,7001960,7001960,0,0,0,0,1946,2008,700,AFG,512,700,10,AFG,4,34,Southern Asia,142,Asia,9,1919,2008,0,0,0,0,0,0,3,2,2,0,0,0,0,0,0,0,0,0,Mohammad Zahir Shah,king,,0,8,0,0,1,Sardar Mohammad Daoud,prime minister,,10,0,1,1,0,0,0,0,3,0,0,0,0,0,0,32,8,0
16,Afghanistan,1961,142,700,700,4,AFG,41961,AFG,1,1421961,7001961,7001961,0,0,0,0,1946,2008,700,AFG,512,700,10,AFG,4,34,Southern Asia,142,Asia,9,1919,2008,0,0,0,0,0,0,3,2,2,0,0,0,0,0,0,0,0,0,Mohammad Zahir Shah,king,,0,9,0,0,1,Sardar Mohammad Daoud,prime minister,,10,0,1,1,0,0,0,0,3,0,0,0,0,0,0,33,9,0
17,Afghanistan,1962,142,700,700,4,AFG,41962,AFG,1,1421962,7001962,7001962,0,0,0,0,1946,2008,700,AFG,512,700,10,AFG,4,34,Southern Asia,142,Asia,9,1919,2008,0,0,0,0,0,0,3,2,2,0,0,0,0,0,0,0,0,0,Mohammad Zahir Shah,king,,0,10,0,0,1,Sardar Mohammad Daoud,prime minister,,10,0,1,1,0,0,0,0,3,0,0,0,0,0,0,34,10,0
18,Afghanistan,1963,142,700,700,4,AFG,41963,AFG,1,1421963,7001963,7001963,0,0,0,0,1946,2008,700,AFG,512,700,10,AFG,4,34,Southern Asia,142,Asia,9,1919,2008,0,0,0,0,0,0,3,2,2,0,0,0,0,0,0,0,1,0,Mohammad Zahir Shah,king,3.00.63,1,1,0,1,0,Mohammad Zahir Shah,king,3.00.63,10,0,1,1,1,0,0,0,5,0,0,0,0,0,1,35,1,0
19,Afghanistan,1964,142,700,700,4,AFG,41964,AFG,1,1421964,7001964,7001964,0,0,0,0,1946,2008,700,AFG,512,700,10,AFG,4,34,Southern Asia,142,Asia,9,1919,2008,0,0,0,0,0,0,3,2,2,0,2,2,0,0,0,0,0,0,Mohammad Zahir Shah,king,,0,2,0,1,0,Mohammad Zahir Shah,king,,10,0,1,1,0,0,0,0,5,0,0,0,0,0,0,36,2,0
20,Afghanistan,1965,142,700,700,4,AFG,41965,AFG,1,1421965,7001965,7001965,0,0,0,0,1946,2008,700,AFG,512,700,10,AFG,4,34,Southern Asia,142,Asia,9,1919,2008,0,0,0,0,0,0,3,2,2,0,2,2,0,0,0,0,0,0,Mohammad Zahir Shah,king,,0,3,0,1,0,Mohammad Zahir Shah,king,,10,0,1,1,0,0,0,0,5,0,0,0,0,0,0,37,3,0
21,Afghanistan,1966,142,700,700,4,AFG,41966,AFG,1,1421966,7001966,7001966,0,0,0,0,1946,2008,700,AFG,512,700,10,AFG,4,34,Southern Asia,142,Asia,9,1919,2008,0,0,0,0,0,0,3,2,2,0,2,2,0,0,0,0,0,0,Mohammad Zahir Shah,king,,0,4,0,1,0,Mohammad Zahir Shah,king,,10,0,1,1,0,0,0,0,5,0,0,0,0,0,0,38,4,0
22,Afghanistan,1967,142,700,700,4,AFG,41967,AFG,1,1421967,7001967,7001967,0,0,0,0,1946,2008,700,AFG,512,700,10,AFG,4,34,Southern Asia,142,Asia,9,1919,2008,0,0,0,0,0,0,3,2,2,0,2,2,0,0,0,0,0,0,Mohammad Zahir Shah,king,,0,5,0,1,0,Mohammad Zahir Shah,king,,10,0,1,1,0,0,0,0,5,0,0,0,0,0,0,39,5,0
23,Afghanistan,1968,142,700,700,4,AFG,41968,AFG,1,1421968,7001968,7001968,0,0,0,0,1946,2008,700,AFG,512,700,10,AFG,4,34,Southern Asia,142,Asia,9,1919,2008,0,0,0,0,0,0,3,2,2,0,2,2,0,0,0,0,0,0,Mohammad Zahir Shah,king,,0,6,0,1,0,Mohammad Zahir Shah,king,,10,0,1,1,0,0,0,0,5,0,0,0,0,0,0,40,6,0
24,Afghanistan,1969,142,700,700,4,AFG,41969,AFG,1,1421969,7001969,7001969,0,0,0,0,1946,2008,700,AFG,512,700,10,AFG,4,34,Southern Asia,142,Asia,9,1919,2008,0,0,0,0,0,0,3,2,2,0,2,2,0,0,0,0,0,0,Mohammad Zahir Shah,king,,0,7,0,1,0,Mohammad Zahir Shah,king,,10,0,1,1,0,0,0,0,5,0,0,0,0,0,0,41,7,0
25,Afghanistan,1970,142,700,700,4,AFG,41970,AFG,1,1421970,7001970,7001970,0,0,0,0,1946,2008,700,AFG,512,700,10,AFG,4,34,Southern Asia,142,Asia,9,1919,2008,0,0,0,0,0,0,3,2,2,0,2,2,0,0,0,0,0,0,Mohammad Zahir Shah,king,,0,8,0,1,0,Mohammad Zahir Shah,king,,10,0,1,1,0,0,0,0,5,0,0,0,0,0,0,42,8,0
26,Afghanistan,1971,142,700,700,4,AFG,41971,AFG,1,1421971,7001971,7001971,0,0,0,0,1946,2008,700,AFG,512,700,10,AFG,4,34,Southern Asia,142,Asia,9,1919,2008,0,0,0,0,0,0,3,2,2,0,2,2,0,0,0,0,0,0,Mohammad Zahir Shah,king,,0,9,0,1,0,Mohammad Zahir Shah,king,,10,0,1,1,0,0,0,0,5,0,0,0,0,0,0,43,9,0
27,Afghanistan,1972,142,700,700,4,AFG,41972,AFG,1,1421972,7001972,7001972,0,0,0,0,1946,2008,700,AFG,512,700,10,AFG,4,34,Southern Asia,142,Asia,9,1919,2008,0,0,0,0,0,0,3,2,2,0,2,2,0,0,0,0,0,0,Mohammad Zahir Shah,king,,0,10,0,1,0,Mohammad Zahir Shah,king,,10,0,1,1,0,0,0,0,5,0,0,0,0,0,0,44,10,0
28,Afghanistan,1973,142,700,700,4,AFG,41973,AFG,1,1421973,7001973,7001973,0,0,0,0,1946,2008,700,AFG,512,700,10,AFG,4,34,Southern Asia,142,Asia,9,1919,2008,0,0,0,0,0,0,3,0,0,0,2,2,0,0,0,0,1,0,Sardar Mohammad Daoud,president,7.17.73,1,1,0,0,0,Sardar Mohammad Daoud,president,7.17.73,5,0,1,1,1,0,0,0,3,0,0,0,0,0,1,45,1,0
29,Afghanistan,1974,142,700,700,4,AFG,41974,AFG,1,1421974,7001974,7001974,0,0,0,0,1946,2008,700,AFG,512,700,10,AFG,4,34,Southern Asia,142,Asia,9,1919,2008,0,0,0,0,0,0,3,0,0,0,2,2,0,0,0,0,0,0,Sardar Mohammad Daoud,president,,0,2,0,0,0,Sardar Mohammad Daoud,president,,5,0,1,1,0,0,0,0,3,0,0,0,0,0,0,46,2,0
30,Afghanistan,1975,142,700,700,4,AFG,41975,AFG,1,1421975,7001975,7001975,0,0,0,0,1946,2008,700,AFG,512,700,10,AFG,4,34,Southern Asia,142,Asia,9,1919,2008,0,0,0,0,0,0,3,0,0,0,2,2,0,0,0,0,0,0,Sardar Mohammad Daoud,president,,0,3,0,0,0,Sardar Mohammad Daoud,president,,5,0,1,1,0,0,0,0,3,0,0,0,0,0,0,47,3,0
31,Afghanistan,1976,142,700,700,4,AFG,41976,AFG,1,1421976,7001976,7001976,0,0,0,0,1946,2008,700,AFG,512,700,10,AFG,4,34,Southern Asia,142,Asia,9,1919,2008,0,0,0,0,0,0,3,0,0,0,2,2,0,0,0,0,0,0,Sardar Mohammad Daoud,president,,0,4,0,0,0,Sardar Mohammad Daoud,president,,5,0,1,1,0,0,0,0,3,0,0,0,0,0,0,48,4,0
32,Afghanistan,1977,142,700,700,4,AFG,41977,AFG,1,1421977,7001977,7001977,0,0,0,0,1946,2008,700,AFG,512,700,10,AFG,4,34,Southern Asia,142,Asia,9,1919,2008,0,0,0,0,0,0,3,0,0,1,1,1,0,0,0,0,0,0,Sardar Mohammad Daoud,president,,0,5,0,0,0,Sardar Mohammad Daoud,president,,5,0,0,0,0,0,0,0,3,0,0,0,0,0,0,49,5,0
33,Afghanistan,1978,142,700,700,4,AFG,41978,AFG,1,1421978,7001978,7001978,0,0,0,0,1946,2008,700,AFG,512,700,10,AFG,4,34,Southern Asia,142,Asia,9,1919,2008,0,0,0,0,0,0,3,0,0,1,1,1,0,0,0,0,1,0,Nur Mohammad Taraki,president of Revolutionary Council,4.30.78,1,1,0,0,0,Nur Mohammad Taraki,secretary-general of People's Democratic Party,4.30.78,1,0,0,0,1,0,0,0,3,0,0,0,0,0,0,50,6,0
34,Afghanistan,1979,142,700,700,4,AFG,41979,AFG,1,1421979,7001979,7001979,0,0,0,0,1946,2008,700,AFG,512,700,10,AFG,4,34,Southern Asia,142,Asia,9,1919,2008,0,0,0,0,0,0,3,0,0,2,2,2,0,0,0,0,2,0,Babrak Karmal,president of Revolutionary Council,12.27.79,2,1,0,0,0,Babrak Karmal,secretary-general of People's Democratic Party,12.27.79,6,0,1,1,1,0,0,0,3,0,0,0,0,0,0,51,7,0
35,Afghanistan,1980,142,700,700,4,AFG,41980,AFG,1,1421980,7001980,7001980,0,0,0,0,1946,2008,700,AFG,512,700,10,AFG,4,34,Southern Asia,142,Asia,9,1919,2008,0,0,0,0,0,0,3,0,0,2,2,2,0,0,0,0,0,0,Babrak Karmal,president of Revolutionary Council,,0,2,0,0,0,Babrak Karmal,secretary-general of People's Democratic Party,,6,0,1,1,0,0,0,0,3,0,0,0,0,0,0,52,8,0
36,Afghanistan,1981,142,700,700,4,AFG,41981,AFG,1,1421981,7001981,7001981,0,0,0,0,1946,2008,700,AFG,512,700,10,AFG,4,34,Southern Asia,142,Asia,9,1919,2008,0,0,0,0,0,0,3,0,0,2,2,1,0,0,0,0,0,0,Babrak Karmal,president of Revolutionary Council,,0,3,0,0,0,Babrak Karmal,secretary-general of People's Democratic Party,,6,0,1,1,0,0,0,0,3,0,0,0,0,0,0,53,9,0
